item_id,company_name,item_name,protein_option,price,description,added_date,last_modified_date,discontinued_date
1,Sweetgreen,Featured,Elote Bowl,$13.45 — 615 CAL,"Warm quinoa, arugula, cilantro, shredded cabbage, tomato, tortilla chips, sunflower seeds, goat cheese, roasted corn + peppers, lime cilantro jalapeno vinaigrette",2023-09-28,2023-09-28,none
2,Sweetgreen,Featured,Italian Chopped,$13.95 — 390 CAL,"Chopped romaine, shredded kale, cucumber, red onion, chickpeas, spicy banana peppers, shaved parmesan, heirloom tomatoes, salami, red wine vinaigrette",2023-09-28,2023-09-28,none
3,Sweetgreen,Featured,BBQ Chicken Salad,$13.45 — 475 CAL,"Chopped romaine, shredded kale, cilantro, red onion, shredded cabbage, tomato, tortilla chips, apples, blackened chicken, green goddess ranch, honey bbq sauce",2023-09-28,2023-09-28,none
4,Sweetgreen,Featured,Charcuterie Cobb,$13.95 — 550 CAL,"Chopped romaine, spring mix, red onion, toasted almonds, tomato, hard boiled egg, blue cheese, salami, balsamic vinaigrette",2023-09-28,2023-09-28,none
5,Sweetgreen,Featured,The Reneé Rapp Bowl,$12.45 — 295 CAL,"Spring mix, cilantro, cucumber, red onion, shredded cabbage, spicy broccoli, tomato, roasted tofu, spicy cashew dressing",2023-09-28,2023-09-28,none
6,Sweetgreen,Featured,Hot Honey Chicken Plate,$14.45 — 750 CAL,"Warm quinoa, toasted almonds, blackened chicken, hot roasted sweet potatoes, kale-cabbage slaw, hot honey sauce",2023-09-28,2023-09-28,none
7,Sweetgreen,Featured,Miso Roasted Corn Bowl,$13.95 — 605 CAL,"Shredded kale, warm wild rice, basil, shredded cabbage, toasted almonds, raw carrots, roasted corn + peppers, blackened chicken, miso sesame ginger dressing",2023-09-28,2023-09-28,none
8,Sweetgreen,Warm Bowls,Crispy Rice Bowl,$13.45 — 600 CAL,"Arugula, warm wild rice, cilantro, cucumber, shredded cabbage, toasted almonds, crispy rice, raw carrots, blackened chicken, fresh lime squeeze, spicy cashew dressing",2023-09-28,2023-09-28,none
9,Sweetgreen,Warm Bowls,Shroomami,$11.95 — 595 CAL,"Shredded kale, warm wild rice, basil, cucumber, raw beet, sunflower seeds, warm portobello mix, roasted tofu, miso sesame ginger dressing",2023-09-28,2023-09-28,none
10,Sweetgreen,Warm Bowls,Garlic Chili Shrimp Bowl,$13.95 — 400 CAL,"Shredded kale, warm wild rice, red onion, shredded cabbage, raw pecans, apples, fresh herb mix, raw carrots, roasted shrimp, fresh lime squeeze, nuoc cham vinaigrette",2023-09-28,2023-09-28,none
